"","mean_price.Group.2","mean_price.x.Rice","mean_price.x.Onion","mean_price..x.Tea.Loose.","mean_price..x.Tur.Arhar.Dal.","year","index"
"1","01-1997",9.58823529411765,NA,NA,NA,"1997",1
"20","02-1997",9.5,NA,NA,NA,"1997",1
"39","03-1997",9.5,NA,NA,NA,"1997",1
"58","04-1997",9.58823529411765,NA,NA,NA,"1997",1
"77","05-1997",9.46666666666667,NA,NA,NA,"1997",1
"132","08-1997",9.46875,NA,NA,NA,"1997",1
"151","09-1997",9.5,NA,NA,NA,"1997",1
"170","10-1997",9.47058823529412,NA,NA,NA,"1997",1
"189","11-1997",9.54166666666667,7.6171875,89.0793650793651,21.2857142857143,"1997",1
"208","12-1997",9.66288209606987,12.404,92.3543417366947,21.784217877095,"1997",1
"2","01-1998",9.7309667673716,17.1620588235294,96.0410334346505,23.5948113207547,"1998",2
"21","02-1998",9.81990445859873,17.4031152647975,108.226229508197,24.5219672131148,"1998",2
"40","03-1998",9.81415094339623,10.9116710875332,113.94209039548,25.2949438202247,"1998",2
"59","04-1998",9.83595505617978,7.44418238993711,117.085526315789,26,"1998",2
"78","05-1998",9.75269541778976,6.64722222222222,118.834328358209,26.4674922600619,"1998",2
"96","06-1998",9.8043661971831,7.53810160427807,121.746031746032,27.4462809917355,"1998",2
"114","07-1998",9.95089974293059,12.15625,120.4609375,29.8538567493113,"1998",2
"133","08-1998",10.340813253012,17.0272727272727,120.876675603217,31.2941761363636,"1998",2
"152","09-1998",10.4846685082873,22.6861413043478,121.770380434783,32.4610951008646,"1998",2
"171","10-1998",10.5822857142857,30.7288401253918,123.782407407407,35.4255663430421,"1998",2
"190","11-1998",10.54,27.8146788990826,124.58785942492,38.2833876221498,"1998",2
"209","12-1998",10.4829096045198,19.7336387434555,127.039325842697,36.1094182825485,"1998",2
"3","01-1999",10.9355828220859,11.637459807074,121.48,34.3766891891892,"1999",3
"22","02-1999",11.1767985611511,7.80377906976744,121.021806853583,31.0889570552147,"1999",3
"41","03-1999",11.0067474048443,6.45961538461538,118.258675078864,28.6650943396226,"1999",3
"60","04-1999",11.0233443708609,6.53651315789474,113.503496503497,27.6778169014085,"1999",3
"79","05-1999",10.9893767705382,6.9747191011236,111.546268656716,30.2319277108434,"1999",3
"97","06-1999",11.0877840909091,7.12176165803109,112.868131868132,30.5502747252747,"1999",3
"115","07-1999",11.1256756756757,8.40050505050505,113.860962566845,30.4064171122995,"1999",3
"134","08-1999",11.2680519480519,8.31186868686869,112.106951871658,29.8917112299465,"1999",3
"153","09-1999",11.3423482849604,9.07792915531335,109.649717514124,30.7119533527697,"1999",3
"172","10-1999",11.365251572327,10.0947447447447,111.124242424242,31.7035714285714,"1999",3
"191","11-1999",11.2861111111111,9.73571428571429,110.921126760563,31.1,"1999",3
"210","12-1999",11.1743523316062,7.80152671755725,112.511450381679,27.7566844919786,"1999",3
"4","01-2000",11.0605919003115,6.73048048048048,111.490990990991,26.9121405750799,"2000",4
"23","02-2000",11.2702846975089,5.62536443148688,111.590379008746,26.0287267080745,"2000",4
"42","03-2000",11.1410714285714,5.85160427807487,112.233957219251,25.7393767705382,"2000",4
"61","04-2000",11.2303571428571,5.90352348993289,111.667785234899,26.1209964412811,"2000",4
"80","05-2000",11.1226586102719,6.03132992327366,111.076726342711,26.2493224932249,"2000",4
"98","06-2000",11.0127423822715,5.50269541778976,110.498652291105,26.1985714285714,"2000",4
"116","07-2000",11.0102666666667,5.91022099447514,111.008287292818,26.5492753623188,"2000",4
"135","08-2000",10.9806501547988,5.99792817679558,110.401662049861,25.9934782608696,"2000",4
"154","09-2000",10.921974522293,6.70655270655271,109.247863247863,25.7621212121212,"2000",4
"173","10-2000",10.8288109756098,7.22445820433437,109.907120743034,25.4290429042904,"2000",4
"192","11-2000",10.7371934604905,9.51089918256131,111.493188010899,25.2884057971015,"2000",4
"211","12-2000",10.556401384083,9.44254658385093,112.276397515528,25.1026058631922,"2000",4
"5","01-2001",10.2254491017964,9.25257731958763,111.865979381443,24.289402173913,"2001",5
"24","02-2001",10.2569965870307,8.46779141104295,112.288343558282,23.8729641693811,"2001",5
"43","03-2001",10.2402739726027,7.67385444743935,111.493261455526,24.1,"2001",5
"62","04-2001",10.3003205128205,6.85438596491228,110.656140350877,24.6978417266187,"2001",5
"81","05-2001",10.2450276243094,6.08854166666667,110.859375,24.3128453038674,"2001",5
"99","06-2001",10.2410979228487,6.10774647887324,109.12676056338,24.6477611940299,"2001",5
"117","07-2001",10.3375375375375,6.5065274151436,109.603133159269,24.9792243767313,"2001",5
"136","08-2001",10.3141129032258,7.93291139240506,108.518987341772,25.0670241286863,"2001",5
"155","09-2001",10.4126099706745,8.86781609195402,106.954022988506,25.280487804878,"2001",5
"174","10-2001",10.2960691823899,9.36246418338109,107.163323782235,25.4627659574468,"2001",5
"193","11-2001",10.4894285714286,11.0265363128492,109.644444444444,25.7752808988764,"2001",5
"212","12-2001",10.424043715847,10.1788856304985,114.287390029326,25.7558651026393,"2001",5
"6","01-2002",10.4981203007519,7.45533498759305,112.692307692308,25.2741935483871,"2002",6
"25","02-2002",10.47203125,6.27694610778443,111.107784431138,24.6137724550898,"2002",6
"44","03-2002",10.3859516616314,6.14228295819936,111.472668810289,24.7057877813505,"2002",6
"63","04-2002",10.388115942029,5.73145604395604,110.288461538462,25.168956043956,"2002",6
"82","05-2002",10.439588377724,5.57928388746803,109.943734015345,26.2966751918159,"2002",6
"100","06-2002",10.5331288343558,6.01323529411765,110.35,27.6536764705882,"2002",6
"118","07-2002",10.4919786096257,7.01094890510949,111.107055961071,27.639902676399,"2002",6
"137","08-2002",10.4978201634877,7.65553977272727,110.696022727273,27.6931818181818,"2002",6
"156","09-2002",10.4963276836158,8.27168021680217,111.013550135501,27.9945799457995,"2002",6
"175","10-2002",10.5380681818182,8.70140056022409,113.851540616246,27.9201680672269,"2002",6
"194","11-2002",10.5174603174603,9.4469696969697,115.230303030303,28.0015151515152,"2002",6
"213","12-2002",10.4389048991354,7.69331395348837,115.008720930233,27.3633720930233,"2002",6
"7","01-2003",10.5201776649746,6.05461165048544,114.616504854369,26.4053398058252,"2003",7
"26","02-2003",10.7072727272727,5.53957055214724,114.822085889571,26.8926380368098,"2003",7
"45","03-2003",10.6756,5.45386904761905,115.779761904762,27.4806547619048,"2003",7
"64","04-2003",10.6722058823529,6.26543209876543,116.87962962963,27.695987654321,"2003",7
"83","05-2003",10.722625698324,6.85902777777778,115.95,28.1166666666667,"2003",7
